Name,Location,Rating,Contact
Vitality Spa,"5175 River Rd N, Keizer, OR, 97303",5.0,+15034797111
Face Envy,"2780 Ladd Ave NE, Salem, OR, 97301",4.5,+15033474422
Phiz Spa,"3484 Liberty Rd S, Salem, OR, 97302",4.5,+15034002424
The Junke Yard,"800 NE 8th St, McMinnville, OR, 97128",5.0,+15034212952
Sunset MedSpa,"17200 NW Corridor Ct, Beaverton, OR, 97006",4.0,+15037135155
