Name,Location,Rating,Contact
Flawless Beauty,"12 A Harvest St, Salinas, CA, 93901",5.0,+18318007552
Complexions Skincare & Body,"24 Winham St, Salinas, CA, 93901",4.5,+18317573529
Monterey Skin Fitness Center,"24591 Silver Cloud Ct, Monterey, CA, 93940",4.5,+18316493377
Derma Bella Skin Studio,"2650 Research Park Dr, Soquel, CA, 95073",5.0,+18316852355
Attitudes and Images Salon,"650 San Benito St, Hollister, CA, 95023",4.5,+18316375952
